workload,engine,runs,operations_per_sec,best_operations_per_sec,worst_operations_per_sec,points_per_sec,best_points_per_sec,worst_points_per_sec,logical_mib_per_sec,p50_us,p95_us,p99_us,max_us,sync_p50_ms,sync_p95_ms,sync_p99_ms,sync_max_ms,file_bytes,bytes_per_point,latency_scope
concurrent-8-readers,sqlite,5,304213.2532326428,395835.4071312176,255688.278694845,30421325.323264275,39583540.71312176,25568827.8694845,464.1925861093792,12.417,37.708,103.333,1779.167,0.0,0.0,0.0,0.0,0.0,0,operation
concurrent-8-writer,chronotail,5,6959465.702123407,7054547.457058684,1021096.2717957961,6959465.702123407,7054547.457058684,1021096.2717957961,106.19301913640453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146905024.0,16.47870229372646,operation
concurrent-8-writer,nanots,5,2575230.7083157506,3361848.2472935454,2357102.1006155247,2575230.7083157506,3361848.2472935454,2357102.1006155247,39.2949021654625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4139613760.0,159.91480921870502,operation
concurrent-8-writer,sqlite,5,930401.6026253559,1101099.8784246873,874743.0966997015,930401.6026253559,1101099.8784246873,874743.0966997015,14.196801797872252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380642352.0,39.51116569674745,operation
point-lookup-compressed-warm,chronotail,5,1715120.0074614582,1770439.001241538,1605454.280467019,1715120.0074614582,1770439.001241538,1605454.280467019,26.170654410727817,0.375,0.625,0.709,91.0,0.0,0.0,0.0,0.0,5828384.0,58.28384,operation
point-lookup-warm,chronotail,5,1640940.3592514012,1859742.8440582377,1536894.1192606168,1640940.3592514012,1859742.8440582377,1536894.1192606168,25.0387628059601,0.292,0.625,0.791,126.291,0.0,0.0,0.0,0.0,16249408.0,162.49408,operation
point-lookup-warm,nanots,5,1432805.8816681444,1624689.879195859,1364393.757216364,1432805.8816681444,1624689.879195859,1364393.757216364,21.86288271588355,0.625,1.0,1.791,16.583,0.0,0.0,0.0,0.0,85073920.0,850.7392,operation
point-lookup-warm,sqlite,5,369993.9248477516,394535.16092225176,359371.81849252124,369993.9248477516,394535.16092225176,359371.81849252124,5.645659253658319,2.667,3.083,3.625,64.125,0.0,0.0,0.0,0.0,35966976.0,359.66976,operation
range-10-compressed-warm,chronotail,5,1576089.660714706,1601658.267277076,1238805.579833048,15760896.607147058,16016582.672770757,12388055.798330478,240.4921967643289,0.417,0.667,0.791,131.958,0.0,0.0,0.0,0.0,5828384.0,5.828384,operation
range-10-raw-warm,chronotail,5,1632844.123981005,1762436.7450436973,552284.5460113889,16328441.239810051,17624367.450436972,5522845.460113889,249.15224059768755,0.333,0.542,0.709,158.5,0.0,0.0,0.0,0.0,16249408.0,16.249408,operation
